,loss,accuracy,val_loss,val_accuracy
0,0.21507029235363007,0.9377407431602478,0.06778384745121002,0.981166660785675
1,0.06261171400547028,0.9818148016929626,0.051636870950460434,0.984666645526886
2,0.04142361134290695,0.9865925908088684,0.04832432046532631,0.9869999885559082
3,0.03070586733520031,0.990407407283783,0.039652805775403976,0.9893333315849304
4,0.022676119580864906,0.993148148059845,0.04404778406023979,0.9886666536331177
5,0.015953529626131058,0.9949259161949158,0.047636475414037704,0.9883333444595337
6,0.013826468028128147,0.9955185055732727,0.04798147454857826,0.9886666536331177
7,0.01057397946715355,0.9965000152587891,0.046929217875003815,0.9883333444595337
8,0.007881584577262402,0.9975185394287109,0.04805634543299675,0.9896666407585144
9,0.0064537618309259415,0.9980925917625427,0.053627319633960724,0.9886666536331177
10,0.004316539503633976,0.9987592697143555,0.049184225499629974,0.9903333187103271
11,0.005011827684938908,0.9983333349227905,0.04913259297609329,0.9903333187103271
12,0.006780034396797419,0.9976851940155029,0.060646116733551025,0.9881666898727417
13,0.004378118552267551,0.9986851811408997,0.051851700991392136,0.9890000224113464
14,0.0028019107412546873,0.9992592334747314,0.045169901102781296,0.9898333549499512
15,0.002769322134554386,0.9991296529769897,0.047982219606637955,0.9911666512489319
16,0.0038012682925909758,0.9987592697143555,0.057588156312704086,0.9888333082199097
17,0.003693497274070978,0.9988518357276917,0.05203520134091377,0.9886666536331177
18,0.004395374096930027,0.9984999895095825,0.04875866696238518,0.9906666874885559
19,0.0022220034152269363,0.9992777705192566,0.05072770267724991,0.9903333187103271
0,1.9380844831466675,0.5175555348396301,1.324289321899414,0.7904999852180481
1,0.9287503361701965,0.8152592778205872,0.5921345353126526,0.8824999928474426
2,0.5686564445495605,0.860703706741333,0.419854074716568,0.902999997138977
3,0.4600161910057068,0.8799814581871033,0.35365432500839233,0.9126666784286499
4,0.4082547724246979,0.8893703818321228,0.3167751431465149,0.9183333516120911
5,0.3767697513103485,0.8961666822433472,0.2936190366744995,0.9223333597183228
6,0.3548455834388733,0.90068519115448,0.2765285074710846,0.9275000095367432
7,0.33800986409187317,0.9048333168029785,0.2641715109348297,0.9283333420753479
8,0.3243800401687622,0.9077777862548828,0.25387731194496155,0.9309999942779541
9,0.3128982484340668,0.9107221961021423,0.2443496286869049,0.934333324432373
10,0.30285048484802246,0.9130370616912842,0.23687422275543213,0.9358333349227905
11,0.29376330971717834,0.9155740737915039,0.23012498021125793,0.9369999766349792
12,0.28554823994636536,0.918055534362793,0.22378183901309967,0.937833309173584
13,0.2779027819633484,0.9204074144363403,0.21877498924732208,0.9396666884422302
14,0.270912766456604,0.9219814538955688,0.212301105260849,0.9430000185966492
15,0.2641044855117798,0.9244999885559082,0.2070598006248474,0.9434999823570251
16,0.2577967941761017,0.9258518815040588,0.20299462974071503,0.9449999928474426
17,0.25196826457977295,0.9272592663764954,0.1977524757385254,0.9466666579246521
18,0.24628406763076782,0.9289629459381104,0.19422410428524017,0.9473333358764648
19,0.2408311516046524,0.9303703904151917,0.18959181010723114,0.9496666789054871
0,0.20997001230716705,0.9348518252372742,0.06301695108413696,0.9825000166893005
1,0.0597388930618763,0.9810185432434082,0.050345927476882935,0.9868333339691162
2,0.038449209183454514,0.9881666898727417,0.047646164894104004,0.9879999756813049
3,0.027002934366464615,0.9916481375694275,0.04598016291856766,0.9886666536331177
4,0.02001100219786167,0.9937777519226074,0.040778998285532,0.9891666769981384
5,0.015342666767537594,0.9948703646659851,0.04618469625711441,0.9896666407585144
6,0.011743738315999508,0.9964629411697388,0.04754019156098366,0.9896666407585144
7,0.008701260201632977,0.997092604637146,0.05263964831829071,0.9888333082199097
8,0.006562225986272097,0.9979259371757507,0.04795876890420914,0.9903333187103271
9,0.004643973428755999,0.998370349407196,0.0576026625931263,0.9886666536331177
10,0.003758487291634083,0.9987778067588806,0.04915088042616844,0.9900000095367432
11,0.002866145921871066,0.9992222189903259,0.05088493973016739,0.9911666512489319
12,0.0023293374106287956,0.9992036819458008,0.0649791955947876,0.9886666536331177
13,0.0022836155258119106,0.9992777705192566,0.058765485882759094,0.9906666874885559
14,0.0014058873057365417,0.9995926022529602,0.07326490432024002,0.9898333549499512
15,0.0013381849275901914,0.9995370507240295,0.07689201831817627,0.9886666536331177
16,0.0009953788248822093,0.9996481537818909,0.07728058099746704,0.9896666407585144
17,0.0008983360603451729,0.999666690826416,0.07317440956830978,0.9906666874885559
18,0.0003891297383233905,0.9999074339866638,0.0725768655538559,0.9903333187103271
19,0.0004592249752022326,0.9997962713241577,0.08195935189723969,0.9891666769981384
